mediator,mediator_label,outcome,outcome_label,acme_estimate,acme_ci_low,acme_ci_high,acme_p,ade_estimate,ade_ci_low,ade_ci_high,ade_p,total_effect_estimate,total_effect_ci_low,total_effect_ci_high,total_effect_p,prop_mediated_estimate,prop_mediated_ci_low,prop_mediated_ci_high,prop_mediated_p,n
persistent_sad_hopeless,Persistent sadness/hopelessness,vape_current,Vaping (30d),0.0342,0.0277,0.04,0.0,0.122,0.0965,0.1449,0.0,0.1562,0.1305,0.1795,0.0,0.2178,0.1771,0.2742,0.0,10095
persistent_sad_hopeless,Persistent sadness/hopelessness,binge_drinking_current,Binge drinking (30d),0.0153,0.0114,0.0201,0.0,0.0878,0.069,0.105,0.0,0.1031,0.0838,0.1212,0.0,0.1489,0.1066,0.1978,0.0,10051
persistent_sad_hopeless,Persistent sadness/hopelessness,marijuana_current,Marijuana (30d),0.0312,0.0254,0.0374,0.0,0.1022,0.0812,0.1239,0.0,0.1335,0.1121,0.1562,0.0,0.2344,0.1859,0.2921,0.0,10428
persistent_sad_hopeless,Persistent sadness/hopelessness,rx_pain_misuse_ever,Rx pain-med misuse (ever),0.023,0.0181,0.0274,0.0,0.0793,0.0601,0.0993,0.0,0.1023,0.0827,0.123,0.0,0.2244,0.1736,0.2881,0.0,10440
persistent_sad_hopeless,Persistent sadness/hopelessness,any_illicit_ever,Any illicit drug (ever),0.0237,0.0189,0.0288,0.0,0.0955,0.0753,0.1156,0.0,0.1192,0.0977,0.1397,0.0,0.2001,0.1544,0.2493,0.0,9952
persistent_sad_hopeless,Persistent sadness/hopelessness,low_school_connectedness,Low school connectedness,0.0391,0.0326,0.0462,0.0,0.0454,0.02,0.0706,0.0,0.0845,0.06,0.1113,0.0,0.4616,0.347,0.6749,0.0,10430
poor_mental_health_30d,Poor mental health (30d),vape_current,Vaping (30d),0.0137,0.0097,0.0183,0.0,0.1387,0.115,0.1617,0.0,0.1524,0.1295,0.1741,0.0,0.0904,0.0624,0.1247,0.0,10071
poor_mental_health_30d,Poor mental health (30d),binge_drinking_current,Binge drinking (30d),0.005,0.0024,0.008,0.0,0.0957,0.0767,0.1174,0.0,0.1007,0.0817,0.1224,0.0,0.049,0.0234,0.0826,0.0,10024
poor_mental_health_30d,Poor mental health (30d),marijuana_current,Marijuana (30d),0.0122,0.0085,0.0162,0.0,0.1194,0.0965,0.1433,0.0,0.1316,0.1089,0.1553,0.0,0.0915,0.0627,0.1282,0.0,10402
poor_mental_health_30d,Poor mental health (30d),rx_pain_misuse_ever,Rx pain-med misuse (ever),0.012,0.0088,0.0158,0.0,0.0895,0.0678,0.1104,0.0,0.1016,0.0809,0.1235,0.0,0.1185,0.0848,0.1616,0.0,10417
poor_mental_health_30d,Poor mental health (30d),any_illicit_ever,Any illicit drug (ever),0.0109,0.0079,0.0145,0.0,0.1082,0.0886,0.1284,0.0,0.1191,0.0992,0.1386,0.0,0.0914,0.0635,0.1244,0.0,9929
poor_mental_health_30d,Poor mental health (30d),low_school_connectedness,Low school connectedness,0.0245,0.0193,0.0301,0.0,0.0577,0.0309,0.0836,0.0,0.0822,0.0558,0.1086,0.0,0.2987,0.2106,0.4564,0.0,10403
