outcome,label,n,prevalence,model,imbalance,roc_auc,pr_auc,recall,precision,f1,roc_auc_sd,pr_auc_sd,recall_sd,precision_sd,f1_sd
vape_current,Vaping (30d),16700,0.1813,logistic,class_weight,0.766,0.429,0.666,0.351,0.459,0.01,0.011,0.02,0.008,0.009
vape_current,Vaping (30d),16700,0.1813,logistic,smote,0.763,0.427,0.675,0.345,0.456,0.009,0.011,0.018,0.008,0.008
vape_current,Vaping (30d),16700,0.1813,xgboost,class_weight,0.758,0.416,0.662,0.345,0.453,0.006,0.012,0.013,0.006,0.006
vape_current,Vaping (30d),16700,0.1813,xgboost,smote,0.749,0.408,0.256,0.489,0.336,0.007,0.016,0.019,0.027,0.022
alcohol_current,Alcohol (30d),16955,0.2193,logistic,class_weight,0.727,0.419,0.651,0.368,0.47,0.005,0.006,0.018,0.002,0.004
alcohol_current,Alcohol (30d),16955,0.2193,logistic,smote,0.724,0.415,0.656,0.361,0.466,0.005,0.007,0.019,0.004,0.007
alcohol_current,Alcohol (30d),16955,0.2193,xgboost,class_weight,0.726,0.425,0.66,0.363,0.469,0.004,0.007,0.012,0.004,0.003
alcohol_current,Alcohol (30d),16955,0.2193,xgboost,smote,0.713,0.403,0.303,0.445,0.361,0.004,0.011,0.012,0.014,0.013
binge_drinking_current,Binge drinking (30d),13105,0.0921,logistic,class_weight,0.773,0.266,0.69,0.198,0.308,0.014,0.026,0.035,0.008,0.012
binge_drinking_current,Binge drinking (30d),13105,0.0921,logistic,smote,0.769,0.262,0.695,0.198,0.308,0.019,0.027,0.035,0.011,0.016
binge_drinking_current,Binge drinking (30d),13105,0.0921,xgboost,class_weight,0.747,0.246,0.645,0.193,0.297,0.02,0.021,0.039,0.008,0.013
binge_drinking_current,Binge drinking (30d),13105,0.0921,xgboost,smote,0.738,0.215,0.133,0.272,0.178,0.022,0.023,0.012,0.046,0.014
marijuana_current,Marijuana (30d),17216,0.179,logistic,class_weight,0.758,0.408,0.662,0.335,0.445,0.006,0.011,0.015,0.003,0.005
marijuana_current,Marijuana (30d),17216,0.179,logistic,smote,0.755,0.405,0.673,0.328,0.441,0.007,0.011,0.016,0.006,0.005
marijuana_current,Marijuana (30d),17216,0.179,xgboost,class_weight,0.75,0.398,0.661,0.33,0.441,0.01,0.011,0.023,0.006,0.009
marijuana_current,Marijuana (30d),17216,0.179,xgboost,smote,0.737,0.383,0.22,0.471,0.3,0.009,0.013,0.015,0.021,0.016
cig_current,Cigarettes (30d),17381,0.0408,logistic,class_weight,0.789,0.175,0.703,0.104,0.18,0.019,0.03,0.034,0.003,0.006
cig_current,Cigarettes (30d),17381,0.0408,logistic,smote,0.785,0.168,0.694,0.098,0.171,0.016,0.028,0.018,0.001,0.002
cig_current,Cigarettes (30d),17381,0.0408,xgboost,class_weight,0.754,0.152,0.566,0.1,0.17,0.01,0.021,0.04,0.004,0.007
cig_current,Cigarettes (30d),17381,0.0408,xgboost,smote,0.74,0.119,0.037,0.334,0.063,0.02,0.012,0.008,0.157,0.009
rx_pain_misuse_ever,Rx pain-med misuse (ever),17133,0.1187,logistic,class_weight,0.715,0.285,0.586,0.224,0.324,0.015,0.017,0.029,0.01,0.014
rx_pain_misuse_ever,Rx pain-med misuse (ever),17133,0.1187,logistic,smote,0.71,0.281,0.586,0.218,0.318,0.015,0.018,0.034,0.012,0.017
rx_pain_misuse_ever,Rx pain-med misuse (ever),17133,0.1187,xgboost,class_weight,0.701,0.283,0.558,0.224,0.32,0.012,0.019,0.02,0.006,0.008
rx_pain_misuse_ever,Rx pain-med misuse (ever),17133,0.1187,xgboost,smote,0.667,0.263,0.059,0.514,0.105,0.009,0.016,0.01,0.09,0.017
any_illicit_ever,Any illicit drug (ever),10838,0.1135,logistic,class_weight,0.76,0.333,0.66,0.241,0.353,0.01,0.009,0.028,0.009,0.012
any_illicit_ever,Any illicit drug (ever),10838,0.1135,logistic,smote,0.756,0.328,0.662,0.237,0.349,0.009,0.011,0.022,0.007,0.009
any_illicit_ever,Any illicit drug (ever),10838,0.1135,xgboost,class_weight,0.739,0.307,0.617,0.24,0.346,0.009,0.017,0.018,0.006,0.006
any_illicit_ever,Any illicit drug (ever),10838,0.1135,xgboost,smote,0.729,0.293,0.108,0.445,0.173,0.008,0.018,0.008,0.066,0.012
low_school_connectedness,Low school connectedness,11018,0.4622,logistic,class_weight,0.62,0.565,0.542,0.556,0.549,0.018,0.01,0.014,0.021,0.017
low_school_connectedness,Low school connectedness,11018,0.4622,logistic,smote,0.619,0.565,0.543,0.555,0.549,0.018,0.01,0.015,0.02,0.016
low_school_connectedness,Low school connectedness,11018,0.4622,xgboost,class_weight,0.606,0.553,0.541,0.542,0.542,0.015,0.015,0.009,0.018,0.011
low_school_connectedness,Low school connectedness,11018,0.4622,xgboost,smote,0.608,0.557,0.481,0.558,0.516,0.015,0.017,0.011,0.017,0.011
